ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
1,< $10K,2019,2019,TRUE,TRUE,348017,13657.51335,3288,Arizona,04000US04,,0.110812618
2,$10-20k,2019,2019,TRUE,TRUE,380747,14201.34802,3411,Arizona,04000US04,,0.121234227
3,$20-30k,2019,2019,TRUE,TRUE,484105,15710.59398,4010,Arizona,04000US04,,0.154144603
4,$30-40k,2019,2019,TRUE,TRUE,456403,15333.79901,3937,Arizona,04000US04,,0.145323968
5,$40-50k,2019,2019,TRUE,TRUE,355233,13780.53956,3202,Arizona,04000US04,,0.113110275
6,$50-60k,2019,2019,TRUE,TRUE,260742,12004.92403,2489,Arizona,04000US04,,0.083023254
7,$60-70k,2019,2019,TRUE,TRUE,196193,10529.53213,1969,Arizona,04000US04,,0.062470109
8,$70-80k,2019,2019,TRUE,TRUE,141037,9010.812185,1406,Arizona,04000US04,,0.044907804
9,$80-90k,2019,2019,TRUE,TRUE,105995,7857.098459,1099,Arizona,04000US04,,0.033750028
10,$90-100k,2019,2019,TRUE,TRUE,75145,6649.147169,757,Arizona,04000US04,,0.023927033
11,$100-110k,2019,2019,TRUE,TRUE,77131,6734.256498,814,Arizona,04000US04,,0.024559398
12,$110-120k,2019,2019,TRUE,TRUE,38865,4810.05584,431,Arizona,04000US04,,0.012375063
13,$120-130k,2019,2019,TRUE,TRUE,49851,5437.975421,527,Arizona,04000US04,,0.015873132
14,$130-140k,2019,2019,TRUE,TRUE,28407,4119.214291,290,Arizona,04000US04,,0.009045116
15,$140-150k,2019,2019,TRUE,TRUE,19393,3408.413102,216,Arizona,04000US04,,0.006174954
16,$150-160k,2019,2019,TRUE,TRUE,21692,3603.458466,263,Arizona,04000US04,,0.006906982
17,$160-170k,2019,2019,TRUE,TRUE,13599,2856.840141,144,Arizona,04000US04,,0.004330078
18,$170-180k,2019,2019,TRUE,TRUE,9438,2381.558198,106,Arizona,04000US04,,0.003005168
19,$180-190k,2019,2019,TRUE,TRUE,9287,2362.486887,105,Arizona,04000US04,,0.002957088
20,$190-200k,2019,2019,TRUE,TRUE,4664,1675.449378,56,Arizona,04000US04,,0.001485071
21,$200k+,2019,2019,TRUE,TRUE,64646,6177.733623,748,Arizona,04000US04,,0.02058403
1,< $10K,2018,2018,TRUE,TRUE,347346,13624.26125,3236,Arizona,04000US04,,0.113427806
2,$10-20k,2018,2018,TRUE,TRUE,384409,14234.55047,3465,Arizona,04000US04,,0.125530939
3,$20-30k,2018,2018,TRUE,TRUE,488164,15727.11417,4176,Arizona,04000US04,,0.159412722
4,$30-40k,2018,2018,TRUE,TRUE,463308,15395.28808,3987,Arizona,04000US04,,0.151295855
5,$40-50k,2018,2018,TRUE,TRUE,337182,13448.54906,3083,Arizona,04000US04,,0.110108694
6,$50-60k,2018,2018,TRUE,TRUE,247383,11707.61402,2347,Arizona,04000US04,,0.080784321
7,$60-70k,2018,2018,TRUE,TRUE,187231,10293.51601,1907,Arizona,04000US04,,0.061141345
8,$70-80k,2018,2018,TRUE,TRUE,129778,8655.0974,1261,Arizona,04000US04,,0.042379742
9,$80-90k,2018,2018,TRUE,TRUE,97242,7533.457592,1001,Arizona,04000US04,,0.031754927
10,$90-100k,2018,2018,TRUE,TRUE,77993,6768.623981,774,Arizona,04000US04,,0.025469056
11,$100-110k,2018,2018,TRUE,TRUE,69745,6409.563337,723,Arizona,04000US04,,0.022775625
12,$110-120k,2018,2018,TRUE,TRUE,35182,4578.527215,355,Arizona,04000US04,,0.011488882
13,$120-130k,2018,2018,TRUE,TRUE,45060,5173.105987,460,Arizona,04000US04,,0.014714599
14,$130-140k,2018,2018,TRUE,TRUE,25186,3880.261701,252,Arizona,04000US04,,0.008224631
15,$140-150k,2018,2018,TRUE,TRUE,15743,3072.552274,168,Arizona,04000US04,,0.005140966
16,$150-160k,2018,2018,TRUE,TRUE,21927,3622.462643,234,Arizona,04000US04,,0.007160386
17,$160-170k,2018,2018,TRUE,TRUE,10497,2511.086824,111,Arizona,04000US04,,0.003427855
18,$170-180k,2018,2018,TRUE,TRUE,9946,2444.51418,102,Arizona,04000US04,,0.003247923
19,$180-190k,2018,2018,TRUE,TRUE,6373,1957.917253,72,Arizona,04000US04,,0.002081139
20,$190-200k,2018,2018,TRUE,TRUE,3967,1545.341166,39,Arizona,04000US04,,0.001295446
21,$200k+,2018,2018,TRUE,TRUE,58603,5886.251687,624,Arizona,04000US04,,0.019137142
1,< $10K,2017,2017,TRUE,TRUE,344660,13554.48007,3309,Arizona,04000US04,,0.115647667
2,$10-20k,2017,2017,TRUE,TRUE,409391,14590.05031,3645,Arizona,04000US04,,0.137367591
3,$20-30k,2017,2017,TRUE,TRUE,479673,15575.4746,4096,Arizona,04000US04,,0.160950105
4,$30-40k,2017,2017,TRUE,TRUE,435703,14974.38643,3834,Arizona,04000US04,,0.146196354
5,$40-50k,2017,2017,TRUE,TRUE,319142,13106.04698,2957,Arizona,04000US04,,0.107085324
6,$50-60k,2017,2017,TRUE,TRUE,251343,11778.12707,2367,Arizona,04000US04,,0.084335959
7,$60-70k,2017,2017,TRUE,TRUE,174724,9957.077372,1723,Arizona,04000US04,,0.058627119
8,$70-80k,2017,2017,TRUE,TRUE,127651,8581.849878,1274,Arizona,04000US04,,0.042832183
9,$80-90k,2017,2017,TRUE,TRUE,87488,7154.495689,918,Arizona,04000US04,,0.029355838
10,$90-100k,2017,2017,TRUE,TRUE,61699,6034.914619,644,Arizona,04000US04,,0.020702563
11,$100-110k,2017,2017,TRUE,TRUE,69582,6400.195136,718,Arizona,04000US04,,0.023347635
12,$110-120k,2017,2017,TRUE,TRUE,35180,4577.666469,369,Arizona,04000US04,,0.011804343
13,$120-130k,2017,2017,TRUE,TRUE,38594,4791.861504,418,Arizona,04000US04,,0.012949881
14,$130-140k,2017,2017,TRUE,TRUE,22237,3647.426528,237,Arizona,04000US04,,0.007461432
15,$140-150k,2017,2017,TRUE,TRUE,13383,2833.832595,141,Arizona,04000US04,,0.004490549
16,$150-160k,2017,2017,TRUE,TRUE,21694,3602.949128,205,Arizona,04000US04,,0.007279233
17,$160-170k,2017,2017,TRUE,TRUE,9074,2335.134977,102,Arizona,04000US04,,0.003044702
18,$170-180k,2017,2017,TRUE,TRUE,7889,2177.760755,79,Arizona,04000US04,,0.002647085
19,$180-190k,2017,2017,TRUE,TRUE,7394,2108.507119,71,Arizona,04000US04,,0.002480992
20,$190-200k,2017,2017,TRUE,TRUE,5967,1894.600183,60,Arizona,04000US04,,0.002002175
21,$200k+,2017,2017,TRUE,TRUE,57791,5844.572382,646,Arizona,04000US04,,0.019391268
1,< $10K,2016,2016,TRUE,TRUE,368075,13901.47709,3544,Arizona,04000US04,,0.128964093
2,$10-20k,2016,2016,TRUE,TRUE,428006,14808.76218,3756,Arizona,04000US04,,0.149962387
3,$20-30k,2016,2016,TRUE,TRUE,447784,15085.18447,3937,Arizona,04000US04,,0.156892094
4,$30-40k,2016,2016,TRUE,TRUE,406312,14492.9486,3648,Arizona,04000US04,,0.142361363
5,$40-50k,2016,2016,TRUE,TRUE,309204,12891.32732,2895,Arizona,04000US04,,0.108337196
6,$50-60k,2016,2016,TRUE,TRUE,218845,11036.20436,2157,Arizona,04000US04,,0.076677707
7,$60-70k,2016,2016,TRUE,TRUE,165755,9700.987255,1667,Arizona,04000US04,,0.058076325
8,$70-80k,2016,2016,TRUE,TRUE,117741,8248.795315,1206,Arizona,04000US04,,0.041253444
9,$80-90k,2016,2016,TRUE,TRUE,87686,7157.541187,915,Arizona,04000US04,,0.030722938
10,$90-100k,2016,2016,TRUE,TRUE,58435,5873.801113,630,Arizona,04000US04,,0.020474134
11,$100-110k,2016,2016,TRUE,TRUE,64321,6156.04011,671,Arizona,04000US04,,0.022536438
12,$110-120k,2016,2016,TRUE,TRUE,25937,3935.974239,285,Arizona,04000US04,,0.009087663
13,$120-130k,2016,2016,TRUE,TRUE,33736,4482.698514,384,Arizona,04000US04,,0.011820234
14,$130-140k,2016,2016,TRUE,TRUE,15620,3060.015281,182,Arizona,04000US04,,0.00547285
15,$140-150k,2016,2016,TRUE,TRUE,12317,2718.867785,139,Arizona,04000US04,,0.004315563
16,$150-160k,2016,2016,TRUE,TRUE,18898,3363.876833,182,Arizona,04000US04,,0.006621377
17,$160-170k,2016,2016,TRUE,TRUE,9473,2385.59434,107,Arizona,04000US04,,0.003319098
18,$170-180k,2016,2016,TRUE,TRUE,6318,1949.320927,71,Arizona,04000US04,,0.002213666
19,$180-190k,2016,2016,TRUE,TRUE,6758,2015.900417,77,Arizona,04000US04,,0.002367831
20,$190-200k,2016,2016,TRUE,TRUE,3616,1475.413251,36,Arizona,04000US04,,0.001266954
21,$200k+,2016,2016,TRUE,TRUE,49252,5401.405124,566,Arizona,04000US04,,0.017256645
1,< $10K,2015,2015,TRUE,TRUE,362441,13789.11897,3330,Arizona,04000US04,,0.129665498
2,$10-20k,2015,2015,TRUE,TRUE,449600,15080.24657,3896,Arizona,04000US04,,0.160847167
3,$20-30k,2015,2015,TRUE,TRUE,425617,14747.3423,3734,Arizona,04000US04,,0.152267101
4,$30-40k,2015,2015,TRUE,TRUE,401139,14390.74788,3604,Arizona,04000US04,,0.143509946
5,$40-50k,2015,2015,TRUE,TRUE,309525,12880.66701,2881,Arizona,04000US04,,0.110734473
6,$50-60k,2015,2015,TRUE,TRUE,205700,10717.49818,2065,Arizona,04000US04,,0.073590441
7,$60-70k,2015,2015,TRUE,TRUE,161444,9575.622983,1578,Arizona,04000US04,,0.057757584
8,$70-80k,2015,2015,TRUE,TRUE,114525,8136.554675,1130,Arizona,04000US04,,0.040972023
9,$80-90k,2015,2015,TRUE,TRUE,84316,7020.673551,844,Arizona,04000US04,,0.030164568
10,$90-100k,2015,2015,TRUE,TRUE,52746,5585.12318,556,Arizona,04000US04,,0.018870206
11,$100-110k,2015,2015,TRUE,TRUE,58790,5889.936727,610,Arizona,04000US04,,0.021032484
12,$110-120k,2015,2015,TRUE,TRUE,26160,3952.317263,279,Arizona,04000US04,,0.009358901
13,$120-130k,2015,2015,TRUE,TRUE,33500,4466.61961,355,Arizona,04000US04,,0.011984831
14,$130-140k,2015,2015,TRUE,TRUE,21898,3618.837841,224,Arizona,04000US04,,0.007834144
15,$140-150k,2015,2015,TRUE,TRUE,10899,2558.113047,125,Arizona,04000US04,,0.003899184
16,$150-160k,2015,2015,TRUE,TRUE,15635,3061.298473,174,Arizona,04000US04,,0.005593517
17,$160-170k,2015,2015,TRUE,TRUE,8103,2206.821854,87,Arizona,04000US04,,0.002898898
18,$170-180k,2015,2015,TRUE,TRUE,4543,1653.457032,54,Arizona,04000US04,,0.001625286
19,$180-190k,2015,2015,TRUE,TRUE,6360,1955.728984,68,Arizona,04000US04,,0.002275329
20,$190-200k,2015,2015,TRUE,TRUE,2143,1136.107167,25,Arizona,04000US04,,0.000766671
21,$200k+,2015,2015,TRUE,TRUE,40116,4881.963729,454,Arizona,04000US04,,0.014351746
1,< $10K,2014,2014,TRUE,TRUE,382280,14069.59147,3484,Arizona,04000US04,,0.140923419
2,$10-20k,2014,2014,TRUE,TRUE,433852,14821.83711,3767,Arizona,04000US04,,0.159934884
3,$20-30k,2014,2014,TRUE,TRUE,403808,14393.38194,3580,Arizona,04000US04,,0.148859485
4,$30-40k,2014,2014,TRUE,TRUE,402039,14367.32089,3652,Arizona,04000US04,,0.148207363
5,$40-50k,2014,2014,TRUE,TRUE,279093,12284.94954,2758,Arizona,04000US04,,0.102884639
6,$50-60k,2014,2014,TRUE,TRUE,201381,10600.68496,2023,Arizona,04000US04,,0.074236944
7,$60-70k,2014,2014,TRUE,TRUE,159578,9514.721103,1579,Arizona,04000US04,,0.058826717
8,$70-80k,2014,2014,TRUE,TRUE,109613,7962.495096,1089,Arizona,04000US04,,0.040407656
9,$80-90k,2014,2014,TRUE,TRUE,79558,6822.64686,862,Arizona,04000US04,,0.029328203
10,$90-100k,2014,2014,TRUE,TRUE,49719,5423.992371,532,Arizona,04000US04,,0.018328376
11,$100-110k,2014,2014,TRUE,TRUE,52170,5553.520004,537,Arizona,04000US04,,0.019231911
12,$110-120k,2014,2014,TRUE,TRUE,25512,3902.969323,279,Arizona,04000US04,,0.009404725
13,$120-130k,2014,2014,TRUE,TRUE,32138,4375.182833,338,Arizona,04000US04,,0.011847329
14,$130-140k,2014,2014,TRUE,TRUE,12910,2782.928063,151,Arizona,04000US04,,0.004759133
15,$140-150k,2014,2014,TRUE,TRUE,11202,2593.128136,139,Arizona,04000US04,,0.004129497
16,$150-160k,2014,2014,TRUE,TRUE,16069,3102.980538,184,Arizona,04000US04,,0.005923664
17,$160-170k,2014,2014,TRUE,TRUE,6229,1935.462341,73,Arizona,04000US04,,0.002296254
18,$170-180k,2014,2014,TRUE,TRUE,7534,2128.058872,87,Arizona,04000US04,,0.002777328
19,$180-190k,2014,2014,TRUE,TRUE,4132,1576.971703,52,Arizona,04000US04,,0.001523217
20,$190-200k,2014,2014,TRUE,TRUE,2851,1310.222423,26,Arizona,04000US04,,0.001050991
21,$200k+,2014,2014,TRUE,TRUE,41011,4934.202624,463,Arizona,04000US04,,0.015118265